71926 YBK Baker Lake Observations at 00Z 22 Jun 2017

   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
  249.0  10206  -51.5  -74.5      5   0.01    281     39  329.8  329.8  329.8
  243.1  10363  -49.0  -76.2      3   0.01    285     34  335.8  335.8  335.8
  242.0  10393  -48.5  -76.5      2   0.00    285     34  336.9  337.0  336.9
  232.2  10668  -47.5  -78.3      2   0.00    290     31  342.4  342.4  342.4
  221.7  10973  -46.5  -80.3      1   0.00    295     26  348.6  348.6  348.6
  218.0  11085  -46.1  -81.1      1   0.00    289     25  350.9  350.9  350.9
  211.8  11278  -46.0  -81.0      1   0.00    280     24  354.0  354.0  354.0
  202.3  11582  -45.8  -80.8      1   0.00    295     20  358.9  359.0  358.9
  200.0  11660  -45.7  -80.7      1   0.00    295     21  360.2  360.3  360.2
  184.7  12192  -45.7  -80.7      1   0.00    300     23  368.5  368.6  368.5
  176.4  12497  -45.7  -80.7      1   0.00    305     18  373.4  373.4  373.4
  168.6  12802  -45.7  -80.7      1   0.00    295     18  378.3  378.3  378.3
  153.8  13411  -45.7  -80.7      1   0.00    315     12  388.3  388.3  388.3
  150.0  13580  -45.7  -80.7      1   0.00    295     18  391.1  391.1  391.1
  147.0  13716  -45.6  -80.7      1   0.00    290     16  393.6  393.6  393.6
  140.4  14021  -45.4  -80.6      1   0.00    310     17  399.2  399.2  399.2
  134.1  14326  -45.1  -80.6      1   0.00    300     15  404.8  404.9  404.9
  128.1  14630  -44.9  -80.6      1   0.00    325     17  410.6  410.6  410.6
  122.4  14935  -44.6  -80.5      1   0.01    315     12  416.4  416.4  416.4
  119.0  15123  -44.5  -80.5      1   0.01    287      9  420.1  420.1  420.1
  116.9  15240  -44.7  -80.6      1   0.01    270      7  421.8  421.9  421.8
  111.7  15545  -45.2  -80.8      1   0.01    305     14  426.5  426.5  426.5
  101.9  16154  -46.1  -81.2      1   0.01    285     12  436.0  436.0  436.0
  100.0  16280  -46.3  -81.3      1   0.01    285     12  438.0  438.0  438.0
   97.3  16459  -46.5  -81.5      1   0.01    275     14  440.9  440.9  440.9
   89.4  17023  -47.3  -82.3      1   0.01    312     15  450.2  450.3  450.2
   88.8  17069  -47.2  -82.2      1   0.01    315     15  451.2  451.3  451.2
   84.8  17374  -46.8  -81.8      1   0.01    335     10  458.0  458.1  458.0
   81.0  17678  -46.4  -81.4      1   0.01    300     10  464.9  464.9  464.9
   77.4  17983  -46.0  -81.0      1   0.01    320     10  471.8  471.9  471.8
   71.3  18527  -45.3  -80.3      1   0.01    338     11  484.6  484.6  484.6
   70.6  18593  -45.6  -80.6      1   0.01    340     11  485.2  485.3  485.2
   70.0  18650  -45.9  -80.9      1   0.01    335      7  485.8  485.9  485.8
   66.3  19012  -47.5  -82.5      1   0.01    323      8  489.9  490.0  489.9
   58.8  19812  -47.2  -82.2      1   0.01    295     10  507.8  507.9  507.8
   56.2  20117  -47.0  -82.0      1   0.01    340     10  514.8  514.9  514.8
   50.0  20890  -46.7  -81.7      1   0.01    285      9  533.0  533.0  533.0
   49.0  21031  -46.6  -81.6      1   0.01    300     10  536.5  536.6  536.5
   46.8  21336  -46.3  -81.4      1   0.01     20      7  544.2  544.3  544.2
   40.8  22250  -45.5  -80.9      1   0.01     10      1  568.1  568.2  568.1
   30.3  24223  -43.7  -79.7      1   0.02     54     10  623.1  623.3  623.1
   30.0  24290  -44.1  -80.1      1   0.02     55     10  623.8  624.0  623.8
   29.6  24384  -44.3  -80.2      1   0.02     80     12  625.9  626.1  625.9
   28.3  24689  -44.8  -80.4      1   0.02      0      1  632.6  632.8  632.6
   26.1  25220  -45.7  -80.7      1   0.02     44     11  644.6  644.8  644.6
   25.8  25298  -45.5  -80.6      1   0.02     50     12  647.3  647.5  647.3
   24.6  25603  -44.7  -80.1      1   0.03     70     16  658.1  658.4  658.1
   23.6  25908  -43.9  -79.6      1   0.03     50     17  669.1  669.4  669.1
   22.5  26213  -43.0  -79.2      1   0.03     55     21  680.2  680.6  680.2
   21.5  26518  -42.2  -78.7      1   0.04     85     18  691.5  691.9  691.6
   20.0  27010  -40.9  -77.9      1   0.05    105     15  710.2  710.7  710.2
   18.8  27432  -40.2  -77.2      1   0.05    120     10  724.9  725.5  724.9
   18.0  27737  -39.8  -76.8      1   0.06     65     11  735.7  736.3  735.7
   17.5  27921  -39.5  -76.5      1   0.07     74     10  742.3  743.0  742.3
   17.2  28042  -39.4  -76.4      1   0.07     80     10  746.4  747.1  746.4
   16.4  28346  -39.1  -76.3      1   0.07     35     11  756.8  757.6  756.8
   15.7  28651  -38.8  -76.2      1   0.08    105      4  767.3  768.2  767.4
   14.4  29261  -38.2  -75.9      1   0.09    115     15  789.0  790.0  789.0
   13.8  29566  -38.0  -75.7      1   0.09    105     18  800.0  801.1  800.0
   13.2  29870  -37.7  -75.6      1   0.10     55     17  811.1  812.3  811.2
   12.8  30071  -37.5  -75.5      1   0.11     67     18  818.6  819.9  818.6
   12.1  30480  -35.9  -74.4      1   0.13     90     21  838.0  839.6  838.1
   11.1  31090  -33.5  -72.7      1   0.19     90     12  867.8  870.2  867.9
   10.6  31394  -32.3  -71.8      1   0.22     60     17  883.0  885.8  883.2
   10.0  31800  -30.7  -70.7      1   0.28     75     22  903.8  907.3  903.9
    9.7  32004  -29.9  -70.2      1   0.30     80     21  914.1  918.1  914.3
    9.3  32309  -28.7  -69.5      1   0.35     80     27  929.8  934.5  930.0
    9.1  32473  -28.1  -69.1      1   0.38     85     27  938.4  943.4  938.6
    8.9  32614  -28.0  -69.0      1   0.39     90     27  944.1  949.3  944.3
    8.6  32918  -27.8  -68.8      1   0.43     85     17  956.5  962.2  956.8
