71926 YBK Baker Lake Observations at 12Z 22 Dec 2017

   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
   88.3  16644  -39.9  -74.9      1   0.02    347     30  466.6  466.8  466.6
   83.0  17069  -38.5  -74.3      1   0.02    330     24  477.8  477.9  477.8
   79.4  17374  -37.5  -73.8      1   0.02      0     26  486.0  486.1  486.0
   76.0  17678  -36.5  -73.4      1   0.02    345     27  494.2  494.4  494.2
   75.2  17746  -36.3  -73.3      1   0.03    345     29  496.1  496.3  496.1
   70.0  18240  -37.9  -73.9      1   0.02    345     41  502.9  503.1  502.9
   69.5  18288  -38.1  -74.0      1   0.02    345     41  503.6  503.7  503.6
   58.1  19507  -42.6  -76.9      1   0.02    330     38  520.0  520.1  520.0
   53.1  20117  -44.8  -78.3      1   0.02    345     43  528.3  528.5  528.4
   50.7  20422  -45.9  -79.1      1   0.02    355     32  532.5  532.7  532.5
   50.0  20520  -46.3  -79.3      1   0.01    350     25  533.9  534.0  533.9
   49.1  20640  -46.9  -78.9      1   0.02    340     23  535.3  535.4  535.3
   48.5  20726  -46.5  -78.7      1   0.02    330     25  538.3  538.5  538.3
   44.8  21249  -43.7  -77.7      1   0.02    360     21  557.2  557.4  557.2
   44.2  21336  -43.8  -77.8      1   0.02      5     20  559.0  559.2  559.0
   42.2  21641  -44.2  -77.9      1   0.02    335     13  565.4  565.6  565.4
   38.5  22250  -45.0  -78.3      1   0.02    350     28  578.4  578.5  578.4
   36.8  22555  -45.5  -78.5      1   0.02    345     28  584.9  585.1  584.9
   33.6  23165  -46.3  -78.8      1   0.02      5     27  598.3  598.5  598.3
   32.1  23470  -46.7  -79.0      1   0.02    350     20  605.1  605.3  605.1
   30.6  23774  -47.1  -79.2      1   0.02     15     21  612.0  612.2  612.0
   30.0  23910  -47.3  -79.3      1   0.02      5     21  615.1  615.3  615.1
   29.2  24079  -47.9  -79.5      1   0.02    350     25  617.9  618.1  617.9
   28.3  24296  -48.7  -79.7      2   0.02    354     31  621.5  621.8  621.5
   26.7  24689  -47.5  -79.5      1   0.03      0     42  635.5  635.8  635.5
   25.5  24994  -46.6  -79.3      1   0.03     20     41  646.5  646.8  646.5
   25.1  25091  -46.3  -79.3      1   0.03     19     41  650.1  650.4  650.1
   21.2  26213  -47.3  -79.6      1   0.03      5     45  679.1  679.4  679.1
   20.0  26600  -47.7  -79.7      1   0.04     15     42  689.4  689.8  689.4
   19.3  26836  -46.7  -78.7      1   0.04     19     44  699.5  700.0  699.6
   18.4  27127  -47.8  -79.4      1   0.04     25     46  705.2  705.6  705.2
   17.6  27432  -48.9  -80.1      1   0.04     20     41  711.2  711.6  711.2
   14.6  28651  -53.4  -83.0      2   0.03     25     39  735.4  735.7  735.4
   12.2  29802  -57.7  -85.7      2   0.02     14     51  758.8  759.0  758.8
   11.5  30175  -57.5  -85.5      2   0.02     10     55  772.3  772.6  772.3
   11.0  30480  -57.4  -85.4      2   0.03     10     64  783.6  783.9  783.6
   10.4  30785  -57.2  -85.2      2   0.03     15     70  795.1  795.4  795.1
   10.3  30871  -57.2  -85.2      2   0.03     15     70  798.3  798.7  798.4
