72681 BOI Boise Observations at 00Z 22 Jun 2017

   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
   70.0  18840  -58.7  -89.7      1   0.00     50      4  458.5  458.5  458.5
   69.6  18876  -58.7  -89.7      1   0.00     13      2  459.2  459.2  459.2
   69.3  18898  -58.8  -89.8      1   0.00    350      1  459.6  459.6  459.6
   63.0  19498  -60.3  -91.3      1   0.00    344      3  468.9  468.9  468.9
   59.5  19852  -63.3  -93.3      1   0.00    341      4  469.9  469.9  469.9
   53.8  20472  -61.7  -91.7      1   0.00    334      6  487.4  487.4  487.4
   50.7  20842  -57.9  -89.9      1   0.00    331      7  504.6  504.6  504.6
   50.0  20930  -57.9  -89.9      1   0.00    330      7  506.6  506.6  506.6
   47.8  21213  -58.9  -89.9      1   0.00    330     10  510.8  510.8  510.8
   46.9  21336  -58.3  -89.5      1   0.00    330     11  515.0  515.0  515.0
   44.7  21641  -56.9  -88.5      1   0.00     15     11  525.6  525.6  525.6
   42.6  21946  -55.5  -87.5      1   0.00     65     14  536.4  536.4  536.4
   42.6  21941  -55.5  -87.5      1   0.00     64     14  536.2  536.3  536.2
   40.6  22250  -55.4  -87.4      1   0.00     95     19  543.9  543.9  543.9
   38.7  22555  -55.4  -87.4      1   0.00     60     12  551.5  551.5  551.5
   36.9  22860  -55.3  -87.3      1   0.01     90     14  559.3  559.3  559.3
   36.6  22909  -55.3  -87.3      1   0.01     87     14  560.5  560.6  560.5
   35.3  23141  -53.7  -86.7      1   0.01     72     14  570.5  570.6  570.5
   35.2  23165  -53.8  -86.8      1   0.01     70     14  570.8  570.8  570.8
   33.5  23470  -55.6  -87.8      1   0.01     80      3  573.8  573.9  573.8
   33.3  23514  -55.9  -87.9      1   0.01     79      5  574.3  574.3  574.3
   30.5  24079  -54.7  -87.6      1   0.01     70     25  592.2  592.3  592.2
   30.0  24180  -54.5  -87.5      1   0.01     70     25  595.5  595.5  595.5
   29.1  24384  -55.0  -87.2      1   0.01     90     18  599.6  599.7  599.6
   28.8  24441  -55.1  -87.1      1   0.01     92     17  600.8  600.9  600.8
   27.7  24689  -52.2  -85.1      1   0.01    100     14  615.5  615.6  615.5
   27.6  24715  -51.9  -84.9      1   0.01     97     14  617.1  617.2  617.1
   26.4  24994  -51.6  -85.0      1   0.01     65     13  625.4  625.5  625.4
   25.2  25298  -51.4  -85.0      1   0.01     55     14  634.6  634.7  634.6
   24.1  25603  -51.1  -85.1      1   0.01     85     13  643.9  644.0  643.9
   24.0  25623  -51.1  -85.1      1   0.01     84     13  644.5  644.7  644.5
   23.0  25908  -49.8  -83.8      1   0.02     70     13  656.5  656.7  656.5
   21.9  26222  -48.3  -82.3      1   0.02     94     16  670.0  670.2  670.0
   21.9  26213  -48.3  -82.3      1   0.02     95     16  669.6  669.8  669.6
   20.9  26518  -48.4  -82.4      1   0.02     70     13  678.3  678.5  678.3
   20.0  26820  -48.5  -82.5      1   0.02     80     20  687.0  687.2  687.0
   19.1  27127  -48.6  -82.6      1   0.02     95     18  695.8  696.0  695.8
   18.2  27432  -48.8  -82.8      1   0.02     70     18  704.6  704.9  704.7
   17.4  27737  -48.9  -82.9      1   0.02     95     23  713.6  713.9  713.6
   17.3  27774  -48.9  -82.9      1   0.02     95     22  714.7  715.0  714.8
   15.9  28346  -45.9  -80.7      1   0.04     90      5  742.3  742.7  742.3
   15.4  28546  -44.9  -79.9      1   0.04     67      9  752.1  752.6  752.1
   15.2  28651  -44.9  -80.0      1   0.04     55     11  755.6  756.1  755.6
   13.8  29261  -44.6  -80.4      1   0.05    100     13  776.6  777.1  776.6
   13.6  29378  -44.5  -80.5      1   0.05     85     14  780.6  781.2  780.6
   13.2  29566  -43.8  -79.8      1   0.05     60     15  789.4  790.0  789.5
   12.7  29839  -42.7  -78.7      1   0.06     78     18  802.3  803.1  802.4
   12.3  30054  -43.5  -79.5      1   0.06     92     21  806.9  807.6  806.9
   12.1  30175  -42.6  -78.8      1   0.07    100     22  814.3  815.1  814.3
   11.6  30480  -40.2  -77.0      1   0.09     85     11  833.3  834.4  833.3
   11.4  30570  -39.5  -76.5      1   0.10     82     11  839.0  840.2  839.0
   10.1  31394  -38.4  -75.4      1   0.14     50     16  872.3  874.0  872.4
   10.0  31470  -38.3  -75.3      1   0.14     60     17  875.4  877.2  875.5
